Hugo_Symbol	Chromosome
AC008132.13	chr22
AC008271.1	chr2
AC008394.1	chr5
AC008686.1	chr19
AC009365.3	chr7
AC011997.1	chr2
AC012123.1	chr18
AC012493.2	chr2
AC013449.1	chr2
AC016722.1	chr2
AC021218.2	chr7
AC024257.1	chr12
AC027763.2	chr17
AC069368.3	chr15
AC074212.3	chr19
AC087477.1	chr15
AC097381.1	chr4
AC104534.3	chr19
AC104809.3	chr2
AC109829.1	chr2
AC136604.1	chr5
AC138393.1	chr1
AC138517.1	chr5
AC138647.1	chr8
AC139100.2	chr18
AC142381.1	chr16
ACAA1	chr3
ACAA2	chr18
ACADS	chr12
ACADSB	chr10
ACAT1	chr11
ACBD4	chr17
ACER2	chr9
ACHE	chr7
ACKR3	chr2
ACN9	chr7
ACO2	chr22
ACOX1	chr17
ACOX2	chr3
ACP1	chr2
ACP5	chr19
ACP6	chr1
ACPP	chr3
ACSF3	chr16
ACSL1	chr4
ACSL4	chrX
ACSS2	chr20
ACTA1	chr1
ACTA2	chr10
ACTBL2	chr5
ACTC1	chr15
ACTL7A	chr9
ACTL8	chr1
ACTL9	chr19
ACTR1A	chr10
ACTR2	chr2
ACTR6	chr12
ACTRT1	chrX
ACTRT2	chr1
ACVR1	chr2
ACVRL1	chr12
ADA	chr20
ADAD1	chr4
ADAM15	chr1
ADAM20	chr14
ADAM30	chr1
ADAM9	chr8
ADAMDEC1	chr8
ADAMTS2	chr5
ADAMTSL2	chr9
ADAT1	chr16
ADC	chr1
ADCK2	chr7
ADCK3	chr1
ADCY6	chr12
ADCY7	chr16
ADCYAP1	chr18
ADH5	chr4
ADH6	chr4
ADIG	chr20
ADIPOR1	chr1
ADM5	chr19
ADORA2A	chr22
ADPGK	chr15
ADPRHL1	chr13
ADPRHL2	chr1
ADRA1B	chr5
ADSS	chr1
ADSSL1	chr14
AEBP2	chr12
AEN	chr15
AES	chr19
AF165138.7	chr21
AF196779.12	chrX
AFAP1	chr4
AFAP1L2	chr10
AGA	chr4
AGAP1	chr2
AGGF1	chr5
AGPAT2	chr9
AGPAT6	chr8
AGPS	chr2
AGR3	chr7
AGTR1	chr3
AHCYL1	chr1
AICDA	chr12
AIFM1	chrX
AIMP1	chr4
AIP	chr11
AIRE	chr21
AK1	chr9
AKAP1	chr17
AKAP10	chr17
AKIRIN1	chr1
AKR1A1	chr1
AKR1C1	chr10
AKR1C4	chr10
AKR1D1	chr7
AKR1E2	chr10
AKT1S1	chr19
AKT2	chr19
AKTIP	chr16
AL021546.6	chr12
AL138764.1	chr10
AL359195.1	chr10
AL359693.1	chr6
AL390778.1	chr9
AL445989.1	chr13
AL627309.1	chr1
ALB	chr4
ALDH1B1	chr9
ALDH1L1	chr3
ALDH3B2	chr11
ALDH4A1	chr1
ALDH6A1	chr14
ALDOA	chr16
ALG1	chr16
ALG10	chr12
ALG1L	chr3
ALG8	chr11
ALKBH1	chr14
ALKBH2	chr12
ALLC	chr2
ALOX15	chr17
ALPL	chr1
ALPP	chr2
ALPPL2	chr2
ALX3	chr1
AMBN	chr4
AMBRA1	chr11
AMD1	chr6
AMFR	chr16
AMIGO3	chr3
AMMECR1L	chr2
AMN	chr14
AMN1	chr12
AMPD1	chr1
AMPH	chr7
AMY2A	chr1
AMZ1	chr7
ANAPC16	chr10
ANGEL2	chr1
ANGPT1	chr8
ANGPT4	chr20
ANGPTL1	chr1
ANGPTL3	chr1
ANGPTL7	chr1
ANKDD1A	chr15
ANKMY1	chr2
ANKMY2	chr7
ANKRD18B	chr9
ANKRD2	chr10
ANKRD24	chr19
ANKRD28	chr3
ANKRD29	chr18
ANKRD34A	chr1
ANKRD46	chr8
ANKRD66	chr6
ANKS1B	chr12
ANKS4B	chr16
ANKUB1	chr3
ANO9	chr11
ANTXR2	chr4
ANTXRL	chr10
AOC2	chr17
AOC3	chr17
AP000708.1	chr11
AP001024.1	chr11
AP001816.1	chr4
AP003062.1	chr11
AP003068.23	chr11
AP1G2	chr14
AP1M1	chr19
AP1M2	chr19
AP1S3	chr2
AP2A2	chr11
AP2S1	chr19
AP3B2	chr15
AP4B1	chr1
AP5M1	chr14
AP5S1	chr20
APBA3	chr19
APBB1	chr11
APH1A	chr1
APLF	chr2
APLN	chrX
APLP1	chr19
APLP2	chr11
APOBEC1	chr12
APOBEC3A	chr22
APOBEC3B	chr22
APOBEC3C	chr22
APOBEC3F	chr22
APOBEC4	chr1
APOD	chr3
APOL2	chr22
APOL4	chr22
APOL5	chr22
APOL6	chr22
APOM	chr6
APOO	chrX
APP	chr21
APTX	chr9
AQP1	chr7
AQP12A	chr2
AQP3	chr9
AQP4	chr18
ARC	chr8
ARF1	chr1
ARF3	chr12
ARF5	chr7
ARFRP1	chr20
ARG1	chr6
ARG2	chr14
ARGLU1	chr13
ARHGAP11B	chr15
ARHGAP24	chr4
ARHGAP27	chr17
ARHGAP36	chrX
ARHGAP4	chrX
ARHGDIA	chr17
ARHGDIB	chr12
ARHGEF10	chr8
ARHGEF19	chr1
ARHGEF37	chr5
ARHGEF39	chr9
ARHGEF4	chr2
ARHGEF9	chrX
ARID3A	chr19
ARID3B	chr15
ARID3C	chr9
ARIH2OS	chr3
ARL13A	chrX
ARL14EP	chr11
ARL15	chr5
ARL4C	chr2
ARL8B	chr3
ARMC2	chr6
ARMC3	chr10
ARMCX4	chrX
ARMCX6	chrX
ARNTL2	chr12
ARPC1A	chr7
ARPC4	chr3
ARRB2	chr17
ARRDC1	chr9
ARRDC4	chr15
ARRDC5	chr19
ARSK	chr5
ART1	chr11
ART3	chr4
ARVCF	chr22
AS3MT	chr10
ASAH2C	chr10
ASB10	chr7
ASB14	chr3
ASB17	chr1
ASB18	chr2
ASB7	chr15
ASB8	chr12
ASCC1	chr10
ASCL1	chr12
ASCL3	chr11
ASCL4	chr12
ASGR2	chr17
ASIC1	chr12
ASIC3	chr7
ASIC5	chr4
ASIP	chr20
ASNA1	chr19
ASNS	chr7
ASPDH	chr19
ASPHD1	chr16
ASPHD2	chr22
ASUN	chr12
ASZ1	chr7
ATAD3A	chr1
ATAD3C	chr1
ATF3	chr1
ATF6	chr1
ATF7IP2	chr16
ATG10	chr5
ATG16L1	chr2
ATG7	chr3
ATL1	chr14
ATOH1	chr4
ATP11A	chr13
ATP1A3	chr19
ATP1A4	chr1
ATP1B4	chrX
ATP2A1	chr16
ATP2B2	chr3
ATP5A1	chr18
ATP5B	chr12
ATP5E	chr20
ATP5F1	chr1
ATP5G3	chr2
ATP5J2-PTCD1	chr7
ATP5L	chr11
ATP5S	chr14
ATP6AP1L	chr5
ATP6V1B1	chr2
ATP6V1C1	chr8
ATP6V1D	chr14
ATP6V1E2	chr2
ATP6V1F	chr7
ATP6V1G3	chr1
ATP6V1H	chr8
ATP9A	chr20
ATPAF1	chr1
ATPAF2	chr17
ATRIP	chr3
ATXN1L	chr16
AURKA	chr20
AURKB	chr17
AURKC	chr19
AVEN	chr15
AVL9	chr7
AVPI1	chr10
AVPR1B	chr1
AVPR2	chrX
AZI1	chr17
AZIN1	chr8
B2M	chr15
B3GALT5	chr21
B3GALTL	chr13
B3GNT4	chr12
B3GNT8	chr19
B3GNTL1	chr17
B4GALT5	chr20
BACE1	chr11
BACH1	chr21
BAD	chr11
BAG2	chr6
BAHD1	chr15
BAIAP2	chr17
BANF2	chr20
BARX1	chr9
BBOX1	chr11
BBS4	chr15
BCAP29	chr7
BCAS1	chr20
BCKDHB	chr6
BCL11B	chr14
BCL2L13	chr22
BCL7A	chr12
BCL7C	chr16
BCORL1	chrX
BDKRB2	chr14
BDNF	chr11
BEST2	chr19
BHMT	chr5
BHMT2	chr5
BIRC2	chr11
BLZF1	chr1
BMP15	chrX
BMP3	chr4
BMP7	chr20
BNC1	chr15
BNIP3L	chr8
BOD1	chr5
BOLA1	chr1
BPHL	chr6
BPIFB1	chr20
BPIFB6	chr20
BRAP	chr12
BRD3	chr9
BRD8	chr5
BRSK2	chr11
BSPH1	chr19
BSPRY	chr9
BST1	chr4
BSX	chr11
BTBD11	chr12
BTBD17	chr17
BTF3L4	chr1
BTLA	chr3
BTN2A1	chr6
BTN3A1	chr6
BTRC	chr10
BUB1	chr2
BYSL	chr6
BZW1	chr2
BZW2	chr7
C10orf10	chr10
C10orf11	chr10
C10orf12	chr10
C10orf137	chr10
C10orf35	chr10
C10orf53	chr10
C11orf16	chr11
C11orf24	chr11
C11orf30	chr11
C11orf35	chr11
C11orf40	chr11
C11orf42	chr11
C11orf45	chr11
C11orf57	chr11
C11orf58	chr11
C11orf71	chr11
C11orf73	chr11
C11orf80	chr11
C11orf82	chr11
C11orf86	chr11
C11orf96	chr11
C12orf10	chr12
C12orf29	chr12
C12orf40	chr12
C12orf54	chr12
C12orf56	chr12
C12orf61	chr12
C12orf68	chr12
C12orf77	chr12
C13orf35	chr13
C14orf164	chr14
C14orf166B	chr14
C14orf177	chr14
C14orf178	chr14
C14orf37	chr14
C15orf32	chr15
C15orf41	chr15
C15orf43	chr15
C15orf54	chr15
C15orf60	chr15
C16orf52	chr16
C16orf58	chr16
C16orf70	chr16
C16orf71	chr16
C16orf90	chr16
C16orf93	chr16
C17orf112	chr17
C17orf74	chr17
C17orf85	chr17
C18orf42	chr18
C18orf8	chr18
C19orf12	chr19
C19orf24	chr19
C19orf26	chr19
C19orf53	chr19
C19orf54	chr19
C19orf66	chr19
C19orf71	chr19
C19orf81	chr19
C1orf101	chr1
C1orf106	chr1
C1orf111	chr1
C1orf127	chr1
C1orf131	chr1
C1orf137	chr1
C1orf147	chr1
C1orf158	chr1
C1orf159	chr1
C1orf200	chr1
C1orf21	chr1
C1orf216	chr1
C1orf228	chr1
C1orf43	chr1
C1orf50	chr1
C1orf52	chr1
C1orf53	chr1
C1orf54	chr1
C1orf56	chr1
C1orf85	chr1
C1orf86	chr1
C1orf87	chr1
C1QA	chr1
C1QB	chr1
C1QC	chr1
C1QL1	chr17
C1QTNF1-AS1	chr17
C1QTNF4	chr11
C1QTNF7	chr4
C1S	chr12
C20orf144	chr20
C20orf195	chr20
C20orf196	chr20
C20orf96	chr20
C21orf2	chr21
C21orf33	chr21
C21orf58	chr21
C21orf88	chr21
C22orf26	chr22
C22orf43	chr22
C2orf27B	chr2
C2orf47	chr2
C2orf53	chr2
C2orf54	chr2
C2orf57	chr2
C2orf66	chr2
C2orf69	chr2
C2orf74	chr2
C2orf78	chr2
C3AR1	chr12
C3orf14	chr3
C3orf17	chr3
C3orf36	chr3
C3orf65	chr3
C3orf67	chr3
C3orf79	chr3
C4BPB	chr1
C4orf17	chr4
C4orf19	chr4
C4orf29	chr4
C4orf3	chr4
C4orf33	chr4
C4orf36	chr4
C4orf45	chr4
C4orf47	chr4
C5orf20	chr5
C5orf22	chr5
C5orf27	chr5
C5orf28	chr5
C5orf34	chr5
C5orf38	chr5
C5orf54	chr5
C6orf195	chr6
C6orf203	chr6
C6orf222	chr6
C6orf52	chr6
C6orf58	chr6
C7orf26	chr7
C7orf34	chr7
C7orf49	chr7
C7orf55-LUC7L2	chr7
C7orf57	chr7
C7orf71	chr7
C8orf17	chr8
C8orf33	chr8
C8orf37	chr8
C8orf86	chr8
C8orf87	chr8
C9orf117	chr9
C9orf131	chr9
C9orf163	chr9
C9orf170	chr9
C9orf171	chr9
C9orf43	chr9
C9orf57	chr9
C9orf72	chr9
C9orf85	chr9
C9orf89	chr9
C9orf91	chr9
CA1	chr8
CA3	chr8
CABLES2	chr20
CABP5	chr19
CABS1	chr4
CACFD1	chr9
CACHD1	chr1
CACNB1	chr17
CACNG2	chr22
CACNG3	chr16
CACNG4	chr17
CACNG6	chr19
CACUL1	chr10
CADM3	chr1
CALB2	chr16
CALCB	chr11
CALCOCO1	chr12
CALCOCO2	chr17
CALHM1	chr10
CALHM2	chr10
CALHM3	chr10
CALML4	chr15
CAMK1D	chr10
CAMK2A	chr5
CAMKK1	chr17
CAMKMT	chr2
CAMTA2	chr17
CAND2	chr3
CAP1	chr1
CAPG	chr2
CAPN12	chr19
CAPN14	chr2
CAPN3	chr15
CAPN7	chr3
CAPNS1	chr19
CARD17	chr11
CARD6	chr5
CARD8	chr19
CARD9	chr9
CARNS1	chr11
CASC1	chr12
CASC3	chr17
CASD1	chr7
CASP12	chr11
CASP3	chr4
CASP4	chr11
CASQ1	chr1
CAT	chr11
CATSPER1	chr11
CBFA2T3	chr16
CBFB	chr16
CBLC	chr19
CBLN1	chr16
CBR3	chr21
CBWD2	chr2
CBWD3	chr9
CBX4	chr17
CBX7	chr22
CBY1	chr22
CCBE1	chr18
CCBL1	chr9
CCDC103	chr17
CCDC106	chr19
CCDC112	chr5
CCDC116	chr22
CCDC117	chr22
CCDC120	chrX
CCDC130	chr19
CCDC137	chr17
CCDC140	chr2
CCDC144NL	chr17
CCDC149	chr4
CCDC152	chr5
CCDC155	chr19
CCDC157	chr22
CCDC159	chr19
CCDC174	chr3
CCDC181	chr1
CCDC23	chr1
CCDC27	chr1
CCDC28A	chr6
CCDC33	chr15
CCDC34	chr11
CCDC37	chr3
CCDC42	chr17
CCDC43	chr17
CCDC47	chr17
CCDC51	chr3
CCDC54	chr3
CCDC6	chr10
CCDC60	chr12
CCDC64	chr12
CCDC65	chr12
CCDC67	chr11
CCDC68	chr18
CCDC7	chr10
CCDC70	chr13
CCDC71L	chr7
CCDC79	chr16
CCDC80	chr3
CCDC87	chr11
CCDC90B	chr11
CCDC92	chr12
CCIN	chr9
CCL2	chr17
CCL3	chr17
CCNB1IP1	chr14
CCND1	chr11
CCNE2	chr8
CCNG1	chr5
CCNG2	chr4
CCNH	chr5
CCNL1	chr3
CCNL2	chr1
CCNT1	chr12
CCNT2	chr2
CCPG1	chr15
CCR4	chr3
CCR5	chr3
CCSAP	chr1
CCSER2	chr10
CCT6A	chr7
CCT6B	chr17
CD101	chr1
CD14	chr5
CD163	chr12
CD164	chr6
CD1A	chr1
CD200R1	chr3
CD207	chr2
CD274	chr9
CD2BP2	chr16
CD320	chr19
CD34	chr1
CD36	chr7
CD37	chr19
CD3G	chr11
CD4	chr12
CD47	chr3
CD48	chr1
CD6	chr11
CD72	chr9
CD79A	chr19
CD84	chr1
CD97	chr19
CDC14B	chr9
CDC16	chr13
CDC25A	chr3
CDC25C	chr5
CDC34	chr19
CDC37	chr19
CDC40	chr6
CDC42SE2	chr5
CDC5L	chr6
CDCA2	chr8
CDCA3	chr12
CDCA4	chr14
CDCP2	chr1
CDH1	chr16
CDH16	chr16
CDH20	chr18
CDH3	chr16
CDK1	chr10
CDK14	chr7
CDK15	chr2
CDK2	chr12
CDK6	chr7
CDKAL1	chr6
CDKL1	chr14
CDKL2	chr4
CDKL3	chr5
CDKN1A	chr6
CDKN1B	chr12
CDKN2C	chr1
CDKN2D	chr19
CDNF	chr10
CDPF1	chr22
CDRT15	chr17
CDRT4	chr17
CDX4	chrX
CDYL	chr6
CDYL2	chr16
CEACAM1	chr19
CEBPE	chr14
CEBPG	chr19
CECR1	chr22
CELA1	chr12
CELA2A	chr1
CELA3B	chr1
CELF4	chr18
CENPA	chr2
CENPO	chr2
CENPQ	chr6
CEP120	chr5
CEP164	chr11
CEP41	chr7
CEP44	chr4
CEP57	chr11
CEP63	chr3
CEP76	chr18
CEP95	chr17
CEP97	chr3
CERS5	chr12
CETN2	chrX
CETN3	chr5
CFHR1	chr1
CFL1	chr11
CFLAR	chr2
CFP	chrX
CGB	chr19
CGB1	chr19
CGGBP1	chr3
CHAC1	chr15
CHAF1A	chr19
CHCHD1	chr10
CHCHD5	chr2
CHDH	chr3
CHI3L2	chr1
CHIC1	chrX
CHKB	chr22
CHM	chrX
CHMP1B	chr18
CHMP4B	chr20
CHMP7	chr8
CHN2	chr7
CHODL	chr21
CHORDC1	chr11
CHRM2	chr7
CHRM5	chr15
CHRNA5	chr15
CHRNA6	chr8
CHRNB1	chr17
CHRND	chr2
CHST1	chr11
CHST10	chr2
CHST11	chr12
CHST15	chr10
CHST4	chr16
CHST6	chr16
CHST7	chrX
CHSY3	chr5
CIDEB	chr14
CINP	chr14
CIR1	chr2
CIRBP	chr19
CIRH1A	chr16
CIZ1	chr9
CKAP2	chr13
CKAP2L	chr2
CLC	chr19
CLCA2	chr1
CLCN2	chr3
CLCN4	chrX
CLCNKA	chr1
CLDN10	chr13
CLDN14	chr21
CLDN17	chr21
CLDN20	chr6
CLDN23	chr8
CLDND1	chr3
CLEC18C	chr16
CLEC1B	chr12
CLEC4F	chr2
CLEC6A	chr12
CLHC1	chr2
CLIC4	chr1
CLIP4	chr2
CLK4	chr5
CLLU1	chr12
CLMN	chr14
CLMP	chr11
CLN5	chr13
CLNK	chr4
CLPS	chr6
CLPSL2	chr6
CLPX	chr15
CLRN1	chr3
CLTC	chr17
CLU	chr8
CMC1	chr3
CMC4	chrX
CMIP	chr16
CMTM2	chr16
CMTM3	chr16
CMTM6	chr3
CMTR2	chr16
CNBD2	chr20
CNGA1	chr4
CNGA2	chrX
CNN2	chr19
CNNM1	chr10
CNNM3	chr2
CNNM4	chr2
CNOT10	chr3
CNOT3	chr19
CNOT6L	chr4
CNOT8	chr5
CNRIP1	chr2
CNTD1	chr17
CNTFR	chr9
CNTNAP1	chr17
CNTROB	chr17
COA1	chr7
COASY	chr17
COG2	chr1
COG3	chr13
COG5	chr7
COL13A1	chr10
COL4A3BP	chr5
COL8A2	chr1
COLGALT1	chr19
COLQ	chr3
COMMD10	chr5
COMMD2	chr3
COMMD3-BMI1	chr10
COMMD3	chr10
COMMD9	chr11
COPB2	chr3
COPE	chr19
COPS2	chr15
COPS3	chr17
COQ10A	chr12
COQ2	chr4
COQ5	chr12
CORO1B	chr11
CORO2A	chr9
COTL1	chr16
COX14	chr12
COX15	chr10
COX18	chr4
COX6A1P2	chr6
COX6B1	chr19
COX7A1	chr19
CPE	chr4
CPEB3	chr10
CPEB4	chr5
CPLX3	chr15
CPLX4	chr18
CPN1	chr10
CPN2	chr3
CPNE4	chr3
CPNE5	chr6
CPPED1	chr16
CPSF3L	chr1
CPSF4L	chr17
CPT1A	chr11
CPZ	chr4
CRABP2	chr1
CRB2	chr9
CRBN	chr3
CREB3	chr9
CREBRF	chr5
CRELD1	chr3
CRELD2	chr22
CREM	chr10
CRHBP	chr5
CRHR1	chr17
CRIP1	chr14
CRIP2	chr14
CRIP3	chr6
CRIPT	chr2
CRISP2	chr6
CRISPLD2	chr16
CRLF1	chr19
CRLF3	chr17
CRMP1	chr4
CRNKL1	chr20
CRTAC1	chr10
CRTAM	chr11
CRTC1	chr19
CRYAA	chr21
CRYBB1	chr22
CRYBB2	chr22
CRYGB	chr2
CRYGD	chr2
CRYGN	chr7
CRYGS	chr3
CRYZL1	chr21
CSAD	chr12
CSDC2	chr22
CSN1S1	chr4
CSN3	chr4
CSNK1D	chr17
CSNK1E	chr22
CSNK1G1	chr15
CSNK1G3	chr5
CSNK2A1	chr20
CSNK2A2	chr16
CSPG5	chr3
CSRNP2	chr12
CST2	chr20
CST4	chr20
CST9L	chr20
CSTB	chr21
CSTF1	chr20
CSTF2	chrX
CSTF3	chr11
CT45A5	chrX
CTB-134H23.2	chr16
CTB-167G5.5	chr19
CTB-58E17.5	chr17
CTB-78H18.1	chr5
CTC-360G5.1	chr19
CTC-512J12.6	chr19
CTC1	chr17
CTCF	chr16
CTD-2021H9.3	chr12
CTD-2049J23.3	chr3
CTD-2207O23.3	chr19
CTD-2547L24.3	chr14
CTD-3105H18.14	chr19
CTD-3148I10.1	chr19
CTD-3222D19.2	chr19
CTDP1	chr18
CTDSP1	chr2
CTH	chr1
CTIF	chr18
CTNNBL1	chr20
CTNND1	chr11
CTPS2	chrX
CTR9	chr11
CTRL	chr16
CTSB	chr8
CTSG	chr14
CTSO	chr4
CTXN2	chr15
CUEDC2	chr10
CUL2	chr10
CUZD1	chr10
CWC25	chr17
CX3CL1	chr16
CXCL12	chr10
CXCL13	chr4
CXCL14	chr5
CXCR3	chrX
CXCR4	chr2
CXorf36	chrX
CXorf40B	chrX
CXorf48	chrX
CXorf56	chrX
CXorf67	chrX
CYB561	chr17
CYB5D2	chr17
CYB5R1	chr1
CYB5R2	chr11
CYBRD1	chr2
CYC1	chr8
CYFIP1	chr15
CYGB	chr17
CYLC2	chr9
CYorf17	chrY
CYP11B1	chr8
CYP19A1	chr15
CYP24A1	chr20
CYP26C1	chr10
CYP2A7	chr19
CYP2F1	chr19
CYP2J2	chr1
CYP2S1	chr19
CYP2U1	chr4
CYP3A43	chr7
CYP46A1	chr14
CYP4A11	chr1
CYP4F3	chr19
CYP8B1	chr3
CYR61	chr1
CYTIP	chr2
CYTL1	chr4
DACT2	chr6
DAD1	chr14
DAK	chr11
DAPK3	chr19
DAPP1	chr4
DAXX	chr6
DAZAP1	chr19
DAZL	chr3
DBNDD1	chr16
DBNDD2	chr20
DBP	chr19
DBT	chr1
DCAF10	chr9
DCAF15	chr19
DCAF17	chr2
DCAF4	chr14
DCAF5	chr14
DCAF6	chr1
DCAF7	chr17
DCAF8	chr1
DCBLD1	chr6
DCBLD2	chr3
DCLK2	chr4
DCLRE1A	chr10
DCLRE1B	chr1
DCPS	chr11
DCST1	chr1
DCTN1	chr2
DCTN5	chr16
DDAH1	chr1
DDC	chr7
DDHD2	chr8
DDIT3	chr12
DDOST	chr1
DDX1	chr2
DDX19A	chr16
DDX20	chr1
DDX23	chr12
DDX42	chr17
DDX47	chr12
DDX49	chr19
DDX58	chr9
DEFA4	chr8
DEFA5	chr8
DEFB106A	chr8
DEFB131	chr4
DEFB132	chr20
DEFB135	chr8
DENND1A	chr9
DENND2D	chr1
DENND4A	chr15
DENND6A	chr3
DENND6B	chr22
DEPDC1B	chr5
DERL1	chr8
DERL3	chr22
DESI1	chr22
DET1	chr15
DFFA	chr1
DFFB	chr1
DFNA5	chr7
DGAT1	chr8
DGCR14	chr22
DGCR6	chr22
DGCR6L	chr22
DGKA	chr12
DGKD	chr2
DGKE	chr17
DGKG	chr3
DHFRL1	chr3
DHRS2	chr14
DHRS7C	chr17
DHX30	chr3
DHX33	chr17
DHX35	chr20
DHX8	chr17
DIABLO	chr12
DIEXF	chr1
DIRAS2	chr9
DIRAS3	chr1
DIS3L2	chr2
DKFZP761J1410	chr19
DKFZP779L1853	chr12
DKK2	chr4
DKKL1	chr19
DLAT	chr11
DLD	chr7
DLG3	chrX
DLG4	chr17
DLL1	chr6
DLX2	chr2
DLX3	chr17
DLX6	chr7
DMC1	chr22
DMGDH	chr5
DMKN	chr19
DMP1	chr4
DMRT2	chr9
DMRT3	chr9
DMRTA2	chr1
DMWD	chr19
DNAAF2	chr14
DNAJA2	chr16
DNAJA3	chr16
DNAJB11	chr3
DNAJB2	chr2
DNAJB4	chr1
DNAJB5	chr9
DNAJB7	chr22
DNAJC1	chr10
DNAJC11	chr1
DNAJC12	chr10
DNAJC19	chr3
DNAJC21	chr5
DNAJC22	chr12
DNAJC3	chr13
DNAJC4	chr11
DNAJC5	chr20
DNAJC5G	chr2
DNAJC7	chr17
DNAJC9	chr10
DNASE2B	chr1
DND1	chr5
DNER	chr2
DNLZ	chr9
DNTT	chr10
DNTTIP1	chr20
DNTTIP2	chr1
DOC2A	chr16
DOCK6	chr19
DOK2	chr8
DOLPP1	chr9
DPAGT1	chr11
DPCR1	chr6
DPEP1	chr16
DPEP2	chr16
DPEP3	chr16
DPH7	chr9
DPP4	chr2
DPT	chr1
DPY19L1	chr7
DPYSL4	chr10
DRAP1	chr11
DRAXIN	chr1
DRC1	chr2
DRD1	chr5
DRD2	chr11
DRD4	chr11
DRD5	chr4
DTNBP1	chr6
DTX2	chr7
DTX3L	chr3
DTX4	chr11
DUOXA2	chr15
DUS1L	chr17
DUSP13	chr10
DUSP15	chr20
DUSP21	chrX
DUSP22	chr6
DUSP8	chr11
DUSP9	chrX
DYNC1LI2	chr16
DYNC2LI1	chr2
DYNLT3	chrX
DYRK1A	chr21
DYRK2	chr12
DZIP1	chr13
E2F4	chr16
EAPP	chr14
EBP	chrX
EBPL	chr13
ECD	chr10
ECE1	chr1
ECEL1	chr2
ECHDC1	chr6
ECSIT	chr19
EDA2R	chrX
EDAR	chr2
EDEM3	chr1
EEF1A2	chr20
EEF1B2	chr2
EEF1E1	chr6
EFCAB11	chr14
EFCAB3	chr17
EFCAB7	chr1
EFCAB9	chr5
EFEMP1	chr2
EFEMP2	chr11
EFNA1	chr1
EFNB1	chrX
EFNB2	chr13
EFS	chr14
EGLN2	chr19
EGLN3	chr14
EGR2	chr10
EHD2	chr19
EHD3	chr2
EHMT2	chr6
EIF2B1	chr12
EIF2B4	chr2
EIF3D	chr22
EIF3E	chr8
EIF3F	chr11
EIF3I	chr1
EIF3L	chr22
EIF3M	chr11
EIF4E2	chr2
EIF4G3	chr1
EIF5	chr14
EIF5AL1	chr10
ELAC2	chr17
ELAVL3	chr19
ELF2	chr4
ELFN1	chr7
ELK3	chr12
ELL	chr19
ELMO2	chr20
ELOVL1	chr1
ELOVL3	chr10
ELOVL4	chr6
ELOVL5	chr6
ELP2	chr18
ELP3	chr8
ELP4	chr11
EMC6	chr17
EMCN	chr4
EMD	chrX
EMID1	chr22
EML1	chr14
EML3	chr11
EMP1	chr12
EMP3	chr19
EN1	chr2
ENC1	chr5
ENDOD1	chr11
ENG	chr9
ENGASE	chr17
ENO2	chr12
ENOX1	chr13
ENOX2	chrX
ENPP6	chr4
ENTPD2	chr9
ENTPD7	chr10
ENY2	chr8
EPB41	chr1
EPCAM	chr2
EPGN	chr4
EPHA1	chr7
EPHB4	chr7
EPHX1	chr1
EPHX2	chr8
EPHX3	chr19
EPHX4	chr1
EPRS	chr1
EPS15	chr1
EPYC	chr12
ERAL1	chr17
ERAP1	chr5
ERCC1	chr19
ERCC6L	chrX
ERCC8	chr5
ERICH2	chr2
ERLEC1	chr2
ERMARD	chr6
ERO1L	chr14
ERVFRD-1	chr6
ESD	chr13
ESM1	chr5
ESPN	chr1
ESR2	chr14
ETFB	chr19
ETHE1	chr19
ETNK2	chr1
ETS2	chr21
ETV4	chr17
ETV5	chr3
ETV6	chr12
EVA1C	chr21
EVI2A	chr17
EVI5	chr1
EVI5L	chr19
EVX1	chr7
EXD1	chr15
EXD3	chr9
EXO1	chr1
EXO5	chr1
EXOSC2	chr9
EXOSC4	chr8
EXOSC9	chr4
EXPH5	chr11
EXTL2	chr1
EXTL3	chr8
F11R	chr1
F2R	chr5
F2RL2	chr5
F2RL3	chr19
FAAH	chr1
FABP1	chr2
FABP12	chr8
FABP4	chr8
FABP7	chr6
FADS3	chr11
FADS6	chr17
FAF2	chr5
FAIM2	chr12
FAM106A	chr17
FAM117A	chr17
FAM117B	chr2
FAM127B	chrX
FAM129A	chr1
FAM129B	chr9
FAM131C	chr1
FAM132A	chr1
FAM133A	chrX
FAM134B	chr5
FAM150A	chr8
FAM151A	chr1
FAM151B	chr5
FAM154B	chr15
FAM155B	chrX
FAM160A1	chr4
FAM161A	chr2
FAM161B	chr14
FAM163B	chr9
FAM166B	chr9
FAM168B	chr2
FAM169A	chr5
FAM170A	chr5
FAM171A2	chr17
FAM174A	chr5
FAM174B	chr15
FAM175A	chr4
FAM177B	chr1
FAM187B	chr19
FAM188A	chr10
FAM189A1	chr15
FAM189B	chr1
FAM193B	chr5
FAM19A4	chr3
FAM209A	chr20
FAM215A	chr17
FAM216A	chr12
FAM217A	chr6
FAM217B	chr20
FAM219A	chr9
FAM222A	chr12
FAM222B	chr17
FAM227A	chr22
FAM228A	chr2
FAM229A	chr1
FAM27B	chr9
FAM27E2	chr9
FAM35A	chr10
FAM3B	chr21
FAM3D	chr3
FAM45A	chr10
FAM47E	chr4
FAM49B	chr8
FAM50B	chr6
FAM53B	chr10
FAM53C	chr5
FAM63A	chr1
FAM64A	chr17
FAM69C	chr18
FAM71A	chr1
